,Nomor SO,Nomor Dokumen,Customer,Date,Currency,Kurs,Received Amount,Cash/Bank,Catatan
47,,UMP-BP-0225/00048,CHANGZHOU JIAHAO REFRIGERATION EQUIPMENT CO LTD,27/02/2025,USD,16407.0,44243.02,,
48,,UMP-BP-0225/00049,CHANGZHOU JIAHAO REFRIGERATION EQUIPMENT CO LTD,27/02/2025,USD,16525.0,0.18,,
49,PO.2025.02.00155,UMP-BP-0225/00050,PT DAMAI SEJAHTERA ABADI TBK,27/02/2025,IDR,1.0,3598000.0,,
50,PO.2025.03.00009,UMP-BP-0325/00051,PT SUMBER MANDIRI SURABAYA,03/03/2025,IDR,1.0,1619995.0,,
51,PO.2025.03.00007,UMP-BP-0325/00052,PT MIDEA PLANET INDONESIA,03/03/2025,IDR,1.0,8697990.0,,
52,PO.2025.02.00163,UMP-BP-0325/00053,PT PANASONIC GOBEL INDONESIA,04/03/2025,IDR,1.0,875044080.0,,
53,PO.2025.03.00030,UMP-BP-0325/00054,PT FLIFE TECHNOLOGIES INDONESIA,04/03/2025,IDR,1.0,20791980.0,,
54,,UMP-BP-0325/00055,PT GENERGY GLOBAL INDONESIA,08/03/2025,IDR,1.0,12000000.0,,
55,PO.2025.01.00024,UMP-BP-0325/00056,PT MIDEA PLANET INDONESIA,08/03/2025,IDR,1.0,51677294.0,,
56,PO.2025.03.00048,UMP-BP-0325/00057,PT JATIM WATKORAYA,08/03/2025,IDR,1.0,5155458.0,,
57,,UMP-BP-0325/00058,,10/03/2025,,2253.45,58086.0,,
58,,UMP-BP-0325/00059,PT MIDEA PLANET INDONESIA,10/03/2025,IDR,1.0,18122160.0,,
59,,UMP-BP-0325/00060,PT PANASONIC GOBEL INDONESIA,11/03/2025,IDR,1.0,974233125.0,,
60,,UMP-BP-0325/00061,PT MIDEA PLANET INDONESIA,11/03/2025,IDR,1.0,57924580.0,,
61,,UMP-BP-0325/00062,PT GOBEL DHARMA NUSANTARA,12/03/2025,IDR,1.0,1733400.0,,
62,,UMP-BP-0325/00063,PT MIDEA PLANET INDONESIA,13/03/2025,IDR,1.0,128638115.0,,
63,,UMP-BP-0325/00064,PT FLIFE TECHNOLOGIES INDONESIA,14/03/2025,IDR,1.0,9293130.0,,
64,,UMP-BP-0325/00065,PT JATIM WATKORAYA,17/03/2025,IDR,1.0,5123205.0,,
65,,UMP-BP-0325/00066,PT FLIFE TECHNOLOGIES INDONESIA,17/03/2025,IDR,1.0,20162340.0,,
66,,UMP-BP-0325/00067,PT MIDEA PLANET INDONESIA,18/03/2025,IDR,1.0,52984880.0,,
