,Nomor SO,Nomor Dokumen,Customer,Date,Currency,Kurs,Received Amount,Cash/Bank,Catatan
2025-01-02,PO.2024.12.00198,UMP-BP-0125/00001,,02/01/2025,USD,16285.0,704.0,,
2025-01-06,PO.2025.01.00015,UMP-BP-0125/00003,PT SUMBER MANDIRI SURABAYA,06/01/2025,IDR,1.0,489999.0,,
2025-01-08,PO.2025.01.00014,UMP-BP-0125/00005,PT PANASONIC GOBEL INDONESIA,08/01/2025,IDR,1.0,89340125.0,,
2025-01-09,PO.2025.01.00028,UMP-BP-0125/00006,PT MIDEA PLANET INDONESIA,09/01/2025,IDR,1.0,286199736.0,,
2025-01-11,PO.2025.01.00049,UMP-BP-0125/00007,PT FLIFE TECHNOLOGIES INDONESIA,11/01/2025,IDR,1.0,11539440.0,,
2025-01-13,PO.2025.01.00064,UMP-BP-0125/00010,PT JATIM WATKORAYA,13/01/2025,IDR,1.0,35475925.0,,
2025-01-15,PO.2025.01.00055,UMP-BP-0125/00013,PT GENERGY GLOBAL INDONESIA,15/01/2025,IDR,1.0,17400000.0,,
2025-01-17,PO.2025.01.00091,UMP-BP-0125/00014,PT JATIM WATKORAYA,17/01/2025,IDR,1.0,6503860.0,,
2025-01-20,PO.2025.01.00090,UMP-BP-0125/00015,PT PANASONIC GOBEL INDONESIA,20/01/2025,IDR,1.0,753024000.0,,
2025-01-21,PO.2025.01.00108,UMP-BP-0125/00017,PT FLIFE TECHNOLOGIES INDONESIA,21/01/2025,IDR,1.0,29036700.0,,
2025-01-24,PO.2025.01.00024,UMP-BP-0125/00018,PT MIDEA PLANET INDONESIA,24/01/2025,IDR,1.0,124343225.0,,
2025-01-28,PO.2025.01.00136,UMP-BP-0125/00019,PT JATIM WATKORAYA,28/01/2025,IDR,1.0,5155459.0,,
2025-01-30,PO.2025.01.00116,UMP-BP-0125/00022,PT MIDEA PLANET INDONESIA,30/01/2025,IDR,1.0,43114655.0,,
